"","x"
"1","LRP10"
"2","GABPB1"
"3","BLVRA"
"4","EGFR"
"5","FASTKD5"
"6","CNPY3"
"7","ELOVL6"
"8","ADGRG1"
"9","CCDC85B"
"10","CSNK2A2"
"11","ALDOC"
"12","TRIB3"
"13","BAMBI"
"14","TCERG1"
"15","S100A4"
"16","RXYLT1"
"17","LBR"
"18","PSME1"
"19","PPARD"
"20","AKT1"
"21","PDHX"
"22","CLIC4"
"23","PCBD1"
"24","LIG1"
"25","MYC"
"26","MALT1"
"27","SYNGR3"
"28","KDM5B"
"29","ECH1"
"30","NSDHL"
"31","NFKBIB"
"32","ATP1B1"
"33","RAP1GAP"
"34","B4GAT1"
"35","IGFBP3"
"36","TSTA3"
"37","KIF2C"
"38","CLSTN1"
"39","TXNRD1"
"40","IL4R"
"41","CALU"
"42","PDGFA"
"43","CHAC1"
"44","STK25"
"45","NOLC1"
"46","HMGCS1"
"47","CBR3"
"48","TENT4A"
"49","MYL9"
"50","TRAK2"
"51","PARP2"
"52","PCNA"
"53","TUBB6"
"54","PRR7"
"55","SCP2"
"56","NCOA3"
"57","GATA3"
"58","OXSR1"
"59","PRKCD"
"60","KEAP1"
"61","NMT1"
"62","SLC25A4"
"63","FAM57A"
"64","HDAC2"
"65","PAK6"
"66","PIK3C2B"
"67","P4HA2"
"68","TCEA2"
"69","NFIL3"
"70","ICAM3"
"71","CHIC2"
"72","TSKU"
"73","FOS"
"74","TSPAN6"
"75","RNMT"
"76","FOXJ3"
"77","HADH"
"78","PYGL"
"79","TMEM109"
"80","LOXL1"
"81","DNTTIP2"
"82","PKIG"
"83","ELAC2"
"84","TMED10"
"85","OXA1L"
"86","ALDOA"
"87","CTSL"
"88","EBP"
"89","DDIT4"
"90","SPAG7"
"91","CEBPA"
"92","JADE2"
"93","KDM3A"
"94","WASHC5"
"95","MBNL2"
"96","SMARCD2"
"97","MRPL12"
"98","COASY"
"99","PRSS23"
"100","HERPUD1"
"101","EBNA1BP2"
"102","POLD4"
"103","DNM1"
"104","TOP2A"
"105","NRIP1"
"106","PPIE"
"107","PHGDH"
"108","DHRS7"
"109","JMJD6"
"110","CDKN1A"
"111","IER3"
"112","KLHDC2"
"113","MYBL2"
"114","DRAP1"
"115","CCNF"
"116","FOXO4"
"117","GLOD4"
"118","TRIB1"
"119","IL1B"
"120","TFDP1"
"121","NET1"
"122","CCND3"
"123","TBP"
"124","PIP4K2B"
"125","BIRC5"
"126","CIAO3"
"127","SLC35B1"
"128","PARP1"
"129","GADD45B"
"130","ARHGEF2"
"131","HSPA1A"
"132","RAE1"
"133","MYCBP"
"134","CCND1"
"135","ICMT"
"136","SMC4"
"137","JUN"
"138","GNPDA1"
"139","EZH2"
"140","PROS1"
"141","ARHGAP1"
"142","BDH1"
"143","GRB10"
"144","NUP62"
"145","BNIP3L"
"146","SMNDC1"
"147","RELB"
"148","PAICS"
"149","CDC25A"
"150","GPC1"
"151","EVL"
"152","HOXA10"
"153","MYO10"
"154","NPC1"
"155","CCNA2"
"156","BLMH"
"157","BHLHE40"
"158","FYN"
"159","NFKB2"
"160","NRAS"
"161","ABCB6"
"162","LAMA3"
"163","EED"
