,0
0,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C=C[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O
1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
2,CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
3,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
4,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@]1(O)C(=O)CO
5,N=C(N)SCCc1ccc(OCc2ccc([N+](=O)[O-])cc2)cc1
6,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
7,O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO
8,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
9,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
10,CC(C)C(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(F)[C@@H]1OC(=O)C(C)C
11,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
12,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
13,Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12
14,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
15,O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1F
16,COc1cccc(CNc2ncnc3ccc(-c4c(C)noc4C)cc23)c1
17,CC[C@@H](C(=O)C(C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C
18,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
19,CCCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1
20,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
21,C=C1CC2C(CC[C@]3(C)C(=O)CCC23)[C@@]2(C)C=CC(=O)C=C12
22,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
23,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
24,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1
25,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C=C[C@H](C)C(C)(C)O)C[C@@H](O)C[C@@H]1O
26,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1
27,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1
28,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1
29,CC1=CC(=O)c2ccccc2C1=O
30,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1
31,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
32,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
33,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
34,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
35,c1ccc2c(-c3ccncc3)c[nH]c2c1
36,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1
37,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)C=C[C@H](O)CCC[C@@H](C)CC=C[C@H]3[C@@H]1O
38,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C
39,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1
40,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
41,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1
42,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1
43,CC1CCN(C(=O)Cn2c3ccccc3c3nc4n(c(=O)c32)CCCS4)CC1
44,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
45,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
46,O=C(c1cn(Cc2cncn2Cc2ccc(Br)cc2)cc1-c1cccc2ccccc12)N1CCOCC1
47,CC=Cc1ccc([C@H]2[C@@H](C#N)N(S(=O)(=O)c3cccc(F)c3)[C@H]2CO)cc1
48,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC
49,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12
50,CSc1sc(C(=O)O)c2c1C(=O)CC(C)(C)C2
51,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
52,COc1ccc(C2=N[C@H](c3ccc(Cl)cc3)[C@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1
53,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
54,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
55,CCCC[C@@H](C)C=C(C)C=C(C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2OC2C1=O
56,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
57,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21
58,c1ccc(-c2ccc(CNc3nc(-c4ccccn4)nnc3-c3ccccc3)cc2)cc1
59,CC(C)NC(=O)N1[C@H](CO)[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1C#N
60,O=C1N=C(NCc2ccccc2)S/C1=C/c1ccc(O)cc1
61,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1
62,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O
63,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
64,C[C@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)c3ccncc3)c2O[C@@H]1CN(C)Cc1ccc(Oc2ccccc2)cc1
65,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2
66,O=C(/C=C/c1ccc(Cl)c(Cl)c1)NC1=NCCS1
67,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1
68,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2OC)CCC[C@H](N2CCN(CCO)CC2)C3)ncc1Cl
69,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1
70,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
71,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
72,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
73,C[C@H](O)C#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccc(-c3ccccc3)cc1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O
74,C[C@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H]1CN(C)Cc1ccc(C(=O)Nc2ccccc2N)cc1
75,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
76,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21
77,C=C1/C(=C\C=C2CCC[C@]3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C[C@@H]1O
78,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2ccc3c(c2)OCO3)O1)Nc1ccc(-c2ccccc2)cc1
79,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
80,CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
81,COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC
82,Cc1cc2nc(NCCCO)n(CC(=O)c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2cc1C
83,COC(=O)N1C(=O)[C@](CC(C)C)(c2ccccc2)N1C(=O)OC
84,CC=CCC=CCCC(=O)[C@H]1O[C@H]1C(N)=O
85,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(C#CC3CCCC3)ccc2S1(=O)=O
86,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1
87,FC(F)(F)c1ccc(Cl)c(Nc2nnc(-c3ccncc3)s2)c1
88,COc1ccc(CN(C)C[C@@H]2OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)cc3C(=O)N([C@@H](C)CO)C[C@H]2C)cc1
89,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)NC1CCCCC1)OCCCC[C@H](C)O2
90,CCCC[C@@H](C)/C=C(C)/C=C(\C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
91,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
92,COCC(=O)N1CC2(CCN(Cc3ccccc3)CC2)c2c([nH]c3cc(OC)ccc23)[C@H]1CO
93,Brc1ccc2c(c1)CN1CCCC1=N2
94,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC
95,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1
96,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
97,CCCOc1ccc(Br)cc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1
98,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1
99,O=C(O)C=Cc1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)cc1
100,O=C(CCCCCCCn1cc(-c2cccnc2)nn1)Nc1ccccc1-c1ccccc1
101,NC(=O)NN=Cc1ccc(Oc2ccc(F)cc2)cc1
102,C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@@H](O)[C@@]12C
103,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(C(=O)Nc3ccccc3N)cc2)Oc2c(NC(=O)Nc3ccccc3)cccc2C1=O
104,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
105,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1
106,O=C(CN1C2=NCCN2c2ccccc21)c1ccc(-c2ccccc2)cc1
107,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
108,O=C(C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2Cc2ccc3c(c2)OCO3)O1)Nc1ccc(-c2ccccc2)cc1
109,O=C(N[C@H]1CN2CCC1CC2)c1cc2cccc(Cl)c2s1
110,C/C=C/C[C@@H](C)[C@@H](O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)N[C@H](C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
111,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
112,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
113,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
114,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
115,CC1(C)C=Cc2c(ccc3c2[N+]([O-])=C2C3=C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@H]4C2(C)C)O1
116,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C(=O)C1CCOCC1)CC31CCN(Cc2cccc(F)c2)CC1
117,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3C[C@@]12CC[C@]3(O)CO
118,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C
119,COc1ccc(C2CC(c3c(O)cc(C)oc3=O)=NCCS2)c(OC)c1
120,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
121,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
122,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
123,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1
124,C=CCc1cccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)c1O
125,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccncc1
126,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2C=Cc1ccc(-c2cccc(F)c2)cn1
127,Cn1nnnc1Sc1ncnc2scc(-c3ccccc3)c12
128,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
129,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
130,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
131,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1
132,C=CC[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C
133,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@@H]3O)CC1)c1ccc(Cl)cc1
134,COc1cccc(-c2ccc([C@@H]3[C@H](CO)N4CCCCN(C(=O)c5ccc(F)cc5)C[C@@H]34)cc2)c1
135,O=C1NC(O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
136,O=C1Nc2ccccc2/C1=C\c1c[nH]cn1
137,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1
138,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
139,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
140,Cc1ccc(C(=O)n2c3ccccc3c3ccccc32)cc1
141,CC(=O)C(C(C)=O)c1c(Cl)c(O)c(O)c2c(C(=O)c3ccccc3)coc12
142,CC1(C)c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(Cc3ccco3)C(=O)N21
143,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
144,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
145,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1
146,CC(C)(O)C=CC(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
147,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C(=O)C1CCOCC1)CC31CCN(Cc2cccc(F)c2)CC1
148,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
149,c1cc2c(cc1C1CCCCC1)c1c3n2CCNC3CCC1
150,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C
151,O=C(C[C@H]1C[C@@H]2c3cc(NC(=O)Cc4ccncc4)ccc3O[C@@H]2[C@H](CO)O1)NCc1cccnc1
152,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
153,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
154,CN(C)c1ccc2c(c1)[C@@H]1C[C@@H](CC(=O)NCc3ccc(Oc4ccccc4)cc3)O[C@@H](CO)[C@@H]1O2
155,Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O
