,0
0,CNCCCC12CCC(c3ccccc31)c1ccccc12
1,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C
2,N=C(N)NC(=N)NCCc1ccccc1
3,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
4,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1
5,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C=C[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O
6,CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
7,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1
8,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
9,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
10,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@]1(O)C(=O)CO
11,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
12,CCC[C@H](NC(=O)C(C#N)=Cc1cccc(Br)n1)c1ccccc1
13,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
14,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
15,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@@]43C)[C@@H]1CC[C@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F
16,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1
17,CC(C)C(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(F)[C@@H]1OC(=O)C(C)C
18,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
19,CC(=Cc1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)O1
20,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
21,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
22,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
23,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1
24,O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1F
25,O=C(Nc1cccc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)n1)c1cc([N+](=O)[O-])ccc1Cl
26,COc1cccc(CNc2ncnc3ccc(-c4c(C)noc4C)cc23)c1
