,drug,cluster
444,C[C@@H]1O[C@@H](O[C@@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,119
504,CNC(C)C(=O)NC(C(=O)NC(C(=O)Nc1cccc2ccccc12)C(C)C)C(C)C,79
2,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,105
3,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,81
186,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,19
348,CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,46
326,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,7
417,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,50
617,O=C(O)c1c[nH]c2c(Cl)c(Cl)ccc2c1=O,108
12,C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@]4(C)C3CC[C@@]21C,97
13,O=C(O)C[C@H](O)C[C@H](O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,52
247,O=C(Cc1cccnc1)N1CC(=O)N2[C@H](C1)[C@H](c1ccc(C=Cc3ccccc3)cc1)[C@@H]2CO,92
630,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,84
319,COc1cc(/C=C2\SC(Nc3ccccc3OC)=NC2=O)ccc1O,30
19,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC,68
513,CCN(CC)CC1CCN(c2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,45
22,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,39
163,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O[C@H]1CN(C)Cc1ccc2c(c1)OCO2,85
24,[2H]C([2H])([2H])C(O)(CCO[C@@H](C)[C@H]1CC[C@H]2C(=C/C=C3/C[C@@H](O)C[C@H](O)C3=C)CCC[C@]12C)C([2H])([2H])[2H],4
272,CC1(C)C=Cc2c(ccc3c2[N+]([O-])=C2C3=C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@H]4C2(C)C)O1,112
29,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,83
34,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,8
35,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,82
372,Cc1ccccc1-c1ccc(CN(C)C[C@@H]2Oc3cc(C#C[C@@H](C)O)ccc3S(=O)(=O)N([C@@H](C)CO)C[C@@H]2C)cc1,12
514,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,76
387,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,102
41,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,27
603,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,65
56,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,86
266,COc1cc(C=CC(=O)N2CCCCC2=O)cc(OC)c1OCCN1CCOCC1,93
563,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2ccc3c(c2)OCO3)O1)Nc1ccc(-c2ccccc2)cc1,28
63,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,87
64,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,36
65,O=C(O)c1ccc(-c2ccc3cc(C45CC6CC(CC(C6)C4)C5)c(O)cc3c2)cc1,29
66,Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,59
73,COc1cccc(-c2ccc3ncnc(NCc4cccc(C)c4)c3c2)c1,42
75,CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,58
324,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,90
84,COc1ccc(CCN(C)CCCOc2ccc(S(=O)(=O)c3c(C(C)C)c4ccccc4n3C)cc2)cc1OC,20
