"","x"
"1","ABY001_A375_XH:BRD-A61304759:10:24"
"2","ABY001_A375_XH:BRD-A90490067:10:24"
"3","ABY001_A375_XH:BRD-K19687926:10:24"
"4","ABY001_A375_XH:BRD-K21680192:10:24"
"5","ABY001_A375_XH:BRD-K66175015:10:24"
"6","ABY001_A375_XH:BRD-K70401845:10:24"
"7","ABY001_A375_XH:BRD-K70511574:10:24"
"8","ABY001_A375_XH:BRD-K74514084:10:24"
"9","ABY001_A375_XH:BRD-K81418486:10:24"
"10","ABY001_A375_XH:BRD-K85606544:10:24"
"11","ABY001_H1975_XH:BRD-K21680192:10:24"
"12","ABY001_H1975_XH:BRD-K66175015:10:24"
"13","ABY001_H1975_XH:BRD-K70401845:10:24"
"14","ABY001_H1975_XH:BRD-K70511574:10:24"
"15","ABY001_H1975_XH:BRD-K85606544:10:24"
"16","ABY001_HEPG2_XH:BRD-A61304759:10:24"
"17","ABY001_HEPG2_XH:BRD-K21680192:10:24"
"18","ABY001_HEPG2_XH:BRD-K70511574:10:24"
"19","ABY001_HEPG2_XH:BRD-K74514084:10:24"
"20","ABY001_HEPG2_XH:BRD-K85606544:10:24"
"21","ABY001_HT29_XH:BRD-K66175015:10:24"
"22","ABY001_HT29_XH:BRD-K70511574:10:24"
"23","ABY001_HT29_XH:BRD-K81418486:10:24"
"24","ABY001_HT29_XH:BRD-K85606544:10:24"
"25","ABY001_NCIH1975_XH:BRD-K21680192:10:24"
"26","ABY001_NCIH1975_XH:BRD-K66175015:10:24"
"27","ABY001_NCIH1975_XH:BRD-K70401845:10:24"
"28","ABY001_NCIH1975_XH:BRD-K70511574:10:24"
"29","ABY001_NCIH1975_XH:BRD-K85606544:10:24"
"30","ABY001_NCIH2073_XH:BRD-K66175015:10:24"
"31","ABY001_NCIH2073_XH:BRD-K70511574:10:24"
"32","ABY001_NCIH2073_XH:BRD-K81418486:10:24"
"33","ABY001_NCIH2073_XH:BRD-K85606544:10:24"
"34","ABY001_NCIH508_XH:BRD-A61304759:10:24"
"35","ABY001_NCIH508_XH:BRD-K19687926:10:24"
"36","ABY001_NCIH508_XH:BRD-K21680192:10:24"
"37","ABY001_NCIH508_XH:BRD-K66175015:10:24"
"38","ABY001_NCIH508_XH:BRD-K70401845:10:24"
"39","ABY001_NCIH508_XH:BRD-K70511574:10:24"
"40","ABY001_NCIH508_XH:BRD-K74514084:10:24"
"41","ABY001_NCIH508_XH:BRD-K81418486:10:24"
"42","ABY001_NCIH596_XH:BRD-A61304759:10:24"
"43","ABY001_NCIH596_XH:BRD-K19687926:10:24"
"44","ABY001_NCIH596_XH:BRD-K21680192:10:24"
"45","ABY001_NCIH596_XH:BRD-K66175015:10:24"
"46","ABY001_NCIH596_XH:BRD-K70401845:10:24"
"47","ABY001_NCIH596_XH:BRD-K70511574:10:24"
"48","ABY001_NCIH596_XH:BRD-K81418486:10:24"
"49","ABY001_NCIH596_XH:BRD-K85606544:10:24"
"50","ABY001_SKBR3_XH:BRD-A61304759:10:24"
"51","ABY001_SKBR3_XH:BRD-A90490067:10:24"
"52","ABY001_SKBR3_XH:BRD-K19687926:10:24"
"53","ABY001_SKBR3_XH:BRD-K66175015:10:24"
"54","ABY001_SKBR3_XH:BRD-K70401845:10:24"
"55","ABY001_SKBR3_XH:BRD-K70511574:10:24"
"56","AICHI001_BJAB_24H:B07"
"57","AICHI001_BJAB_24H:B13"
"58","AICHI001_BJAB_24H:C01"
"59","AICHI001_BJAB_24H:C07"
"60","AICHI001_BJAB_24H:D01"
"61","AICHI001_BJAB_24H:D07"
"62","AICHI001_BJAB_24H:D19"
"63","AICHI001_BJAB_24H:F19"
"64","AICHI001_BJAB_24H:G01"
