"","x"
"1","ABY001_A549_XH:BRD-A61304759:10:24"
"2","ABY001_A549_XH:BRD-A90490067:10:24"
"3","ABY001_A549_XH:BRD-K21680192:10:24"
"4","ABY001_A549_XH:BRD-K66175015:10:24"
"5","ABY001_A549_XH:BRD-K70511574:10:24"
"6","ABY001_A549_XH:BRD-K81418486:10:24"
"7","ABY001_A549_XH:BRD-K85606544:10:24"
"8","ASG002_A549_24H:A07"
"9","ASG002_A549_24H:A10"
"10","ASG002_A549_24H:A22"
"11","ASG002_A549_24H:B04"
"12","ASG002_A549_24H:B10"
"13","ASG002_A549_24H:B19"
"14","ASG002_A549_24H:B22"
"15","ASG002_A549_24H:C01"
"16","ASG002_A549_24H:C13"
"17","ASG002_A549_24H:C16"
"18","ASG002_A549_24H:D04"
"19","ASG002_A549_24H:D10"
"20","ASG002_A549_24H:D13"
"21","ASG002_A549_24H:D16"
"22","ASG002_A549_24H:D22"
"23","ASG002_A549_24H:E04"
"24","ASG002_A549_24H:E07"
"25","ASG002_A549_24H:E16"
"26","ASG002_A549_24H:E19"
"27","ASG002_A549_24H:E22"
"28","ASG002_A549_24H:F01"
"29","ASG002_A549_24H:F04"
"30","ASG002_A549_24H:F07"
"31","ASG002_A549_24H:F10"
"32","ASG002_A549_24H:F13"
"33","ASG002_A549_24H:F16"
"34","ASG002_A549_24H:F19"
"35","ASG002_A549_24H:G01"
"36","ASG002_A549_24H:G04"
"37","ASG002_A549_24H:G07"
"38","ASG002_A549_24H:G10"
"39","ASG002_A549_24H:G22"
"40","ASG002_A549_24H:H01"
"41","ASG002_A549_24H:H04"
"42","ASG002_A549_24H:H07"
"43","ASG002_A549_24H:H10"
"44","ASG002_A549_24H:H13"
"45","ASG002_A549_24H:H16"
"46","ASG002_A549_24H:H19"
"47","ASG002_A549_24H:I04"
"48","ASG002_A549_24H:I07"
"49","ASG002_A549_24H:I13"
"50","ASG002_A549_24H:I16"
"51","ASG002_A549_24H:J01"
"52","ASG002_A549_24H:J04"
"53","ASG002_A549_24H:J07"
"54","ASG002_A549_24H:J10"
"55","ASG002_A549_24H:J22"
"56","ASG002_A549_24H:K04"
"57","ASG002_A549_24H:K22"
"58","ASG002_A549_24H:L01"
"59","ASG002_A549_24H:L04"
"60","ASG002_A549_24H:L07"
"61","ASG002_A549_24H:M07"
"62","ASG002_A549_24H:M13"
"63","ASG002_A549_24H:M16"
"64","ASG002_A549_24H:M19"
"65","ASG002_A549_24H:N04"
"66","ASG002_A549_24H:N07"
"67","ASG002_A549_24H:N13"
"68","ASG002_A549_24H:N19"
"69","ASG002_A549_24H:N22"
"70","ASG002_A549_24H:O10"
"71","ASG002_A549_24H:O13"
"72","ASG002_A549_24H:O16"
"73","ASG002_A549_24H:O19"
"74","ASG002_A549_24H:O22"
"75","ASG002_A549_24H:P13"
"76","ASG002_A549_24H:P22"
"77","ASG003_A549_24H:A04"
"78","ASG003_A549_24H:A07"
"79","ASG003_A549_24H:A10"
"80","ASG003_A549_24H:A13"
"81","ASG003_A549_24H:A16"
"82","ASG003_A549_24H:A19"
"83","ASG003_A549_24H:A22"
"84","ASG003_A549_24H:B04"
"85","ASG003_A549_24H:B07"
"86","ASG003_A549_24H:B10"
"87","ASG003_A549_24H:B16"
"88","ASG003_A549_24H:B19"
"89","ASG003_A549_24H:B22"
"90","ASG003_A549_24H:C01"
"91","ASG003_A549_24H:C04"
"92","ASG003_A549_24H:C07"
"93","ASG003_A549_24H:C10"
"94","ASG003_A549_24H:C13"
"95","ASG003_A549_24H:C16"
"96","ASG003_A549_24H:D01"
"97","ASG003_A549_24H:D04"
"98","ASG003_A549_24H:D07"
"99","ASG003_A549_24H:D13"
