"","x"
"1","ASG002_MCF7_24H:A07"
"2","ASG002_MCF7_24H:A10"
"3","ASG002_MCF7_24H:A22"
"4","ASG002_MCF7_24H:B04"
"5","ASG002_MCF7_24H:B10"
"6","ASG002_MCF7_24H:B19"
"7","ASG002_MCF7_24H:B22"
"8","ASG002_MCF7_24H:C01"
"9","ASG002_MCF7_24H:C13"
"10","ASG002_MCF7_24H:C16"
"11","ASG002_MCF7_24H:D04"
"12","ASG002_MCF7_24H:D10"
"13","ASG002_MCF7_24H:D13"
"14","ASG002_MCF7_24H:D16"
"15","ASG002_MCF7_24H:D22"
"16","ASG002_MCF7_24H:E07"
"17","ASG002_MCF7_24H:E13"
"18","ASG002_MCF7_24H:E16"
"19","ASG002_MCF7_24H:E19"
"20","ASG002_MCF7_24H:E22"
"21","ASG002_MCF7_24H:F01"
"22","ASG002_MCF7_24H:F04"
"23","ASG002_MCF7_24H:F07"
"24","ASG002_MCF7_24H:F10"
"25","ASG002_MCF7_24H:F13"
"26","ASG002_MCF7_24H:F16"
"27","ASG002_MCF7_24H:F19"
"28","ASG002_MCF7_24H:G01"
"29","ASG002_MCF7_24H:G04"
"30","ASG002_MCF7_24H:G07"
"31","ASG002_MCF7_24H:G10"
"32","ASG002_MCF7_24H:G22"
"33","ASG002_MCF7_24H:H01"
"34","ASG002_MCF7_24H:H04"
"35","ASG002_MCF7_24H:H07"
"36","ASG002_MCF7_24H:H10"
"37","ASG002_MCF7_24H:H13"
"38","ASG002_MCF7_24H:H16"
"39","ASG002_MCF7_24H:H19"
"40","ASG002_MCF7_24H:H22"
"41","ASG002_MCF7_24H:I01"
"42","ASG002_MCF7_24H:I04"
"43","ASG002_MCF7_24H:I07"
"44","ASG002_MCF7_24H:I13"
"45","ASG002_MCF7_24H:I16"
"46","ASG002_MCF7_24H:I19"
"47","ASG002_MCF7_24H:J01"
"48","ASG002_MCF7_24H:J04"
"49","ASG002_MCF7_24H:J07"
"50","ASG002_MCF7_24H:J10"
"51","ASG002_MCF7_24H:J22"
"52","ASG002_MCF7_24H:K01"
"53","ASG002_MCF7_24H:K04"
"54","ASG002_MCF7_24H:K13"
"55","ASG002_MCF7_24H:K16"
"56","ASG002_MCF7_24H:K22"
"57","ASG002_MCF7_24H:L01"
"58","ASG002_MCF7_24H:L04"
"59","ASG002_MCF7_24H:L07"
"60","ASG002_MCF7_24H:L13"
"61","ASG002_MCF7_24H:L16"
"62","ASG002_MCF7_24H:L22"
"63","ASG002_MCF7_24H:M01"
"64","ASG002_MCF7_24H:M04"
"65","ASG002_MCF7_24H:M07"
"66","ASG002_MCF7_24H:M13"
"67","ASG002_MCF7_24H:M19"
"68","ASG002_MCF7_24H:M22"
"69","ASG002_MCF7_24H:N04"
"70","ASG002_MCF7_24H:N07"
"71","ASG002_MCF7_24H:N10"
"72","ASG002_MCF7_24H:N13"
"73","ASG002_MCF7_24H:N19"
"74","ASG002_MCF7_24H:N22"
"75","ASG002_MCF7_24H:O07"
"76","ASG002_MCF7_24H:O10"
"77","ASG002_MCF7_24H:O13"
"78","ASG002_MCF7_24H:O16"
"79","ASG002_MCF7_24H:O19"
"80","ASG002_MCF7_24H:O22"
"81","ASG002_MCF7_24H:P01"
"82","ASG002_MCF7_24H:P07"
"83","ASG002_MCF7_24H:P13"
"84","ASG002_MCF7_24H:P16"
"85","ASG003_MCF7_24H:A04"
"86","ASG003_MCF7_24H:A07"
"87","ASG003_MCF7_24H:A13"
"88","ASG003_MCF7_24H:A16"
"89","ASG003_MCF7_24H:A22"
"90","ASG003_MCF7_24H:B04"
"91","ASG003_MCF7_24H:B07"
"92","ASG003_MCF7_24H:B10"
"93","ASG003_MCF7_24H:B16"
"94","ASG003_MCF7_24H:B19"
"95","ASG003_MCF7_24H:B22"
"96","ASG003_MCF7_24H:C01"
"97","ASG003_MCF7_24H:C04"
"98","ASG003_MCF7_24H:C07"
"99","ASG003_MCF7_24H:C10"
"100","ASG003_MCF7_24H:C13"
"101","ASG003_MCF7_24H:D01"
"102","ASG003_MCF7_24H:D04"
"103","ASG003_MCF7_24H:D07"
"104","ASG003_MCF7_24H:D10"
"105","ASG003_MCF7_24H:D13"
"106","ASG003_MCF7_24H:D19"
"107","ASG003_MCF7_24H:D22"
"108","ASG003_MCF7_24H:E01"
"109","ASG003_MCF7_24H:E04"
"110","ASG003_MCF7_24H:E07"
"111","ASG003_MCF7_24H:E10"
"112","ASG003_MCF7_24H:E13"
"113","ASG003_MCF7_24H:E16"
"114","ASG003_MCF7_24H:E19"
"115","ASG003_MCF7_24H:E22"
"116","ASG003_MCF7_24H:F04"
"117","ASG003_MCF7_24H:F10"
"118","ASG003_MCF7_24H:F13"
"119","ASG003_MCF7_24H:F19"
"120","ASG003_MCF7_24H:F22"
"121","ASG003_MCF7_24H:G01"
"122","ASG003_MCF7_24H:G04"
"123","ASG003_MCF7_24H:G07"
"124","ASG003_MCF7_24H:G10"
"125","ASG003_MCF7_24H:G22"
"126","ASG003_MCF7_24H:H01"
"127","ASG003_MCF7_24H:H04"
"128","ASG003_MCF7_24H:H07"
"129","ASG003_MCF7_24H:H13"
"130","ASG003_MCF7_24H:H16"
"131","ASG003_MCF7_24H:H19"
"132","ASG003_MCF7_24H:I01"
"133","ASG003_MCF7_24H:I13"
"134","ASG003_MCF7_24H:J01"
"135","ASG003_MCF7_24H:J07"
"136","ASG003_MCF7_24H:J10"
"137","ASG003_MCF7_24H:J19"
"138","ASG003_MCF7_24H:J22"
"139","ASG003_MCF7_24H:K04"
"140","ASG003_MCF7_24H:K13"
"141","ASG003_MCF7_24H:K16"
"142","ASG003_MCF7_24H:K19"
"143","ASG003_MCF7_24H:K22"
"144","ASG003_MCF7_24H:L01"
"145","ASG003_MCF7_24H:L04"
"146","ASG003_MCF7_24H:L07"
"147","ASG003_MCF7_24H:L10"
"148","ASG003_MCF7_24H:L13"
"149","ASG003_MCF7_24H:L16"
"150","ASG003_MCF7_24H:L19"
"151","ASG003_MCF7_24H:L22"
"152","ASG003_MCF7_24H:M01"
"153","ASG003_MCF7_24H:M04"
"154","ASG003_MCF7_24H:M16"
"155","ASG003_MCF7_24H:M22"
"156","ASG003_MCF7_24H:N01"
"157","ASG003_MCF7_24H:N04"
"158","ASG003_MCF7_24H:N16"
"159","ASG003_MCF7_24H:N19"
"160","ASG003_MCF7_24H:N22"
"161","ASG003_MCF7_24H:O07"
"162","ASG003_MCF7_24H:O16"
"163","ASG003_MCF7_24H:O19"
"164","ASG003_MCF7_24H:P01"
"165","ASG003_MCF7_24H:P07"
"166","ASG003_MCF7_24H:P10"
"167","ASG003_MCF7_24H:P13"
"168","ASG003_MCF7_24H:P19"
"169","ASG003_MCF7_24H:P22"
"170","CPC005_MCF7_24H:BRD-A22713669-001-01-9:10"
"171","CPC005_MCF7_24H:BRD-A45333398-001-01-7:10"
"172","CPC005_MCF7_24H:BRD-A47513740-001-02-5:10"
"173","CPC005_MCF7_24H:BRD-A63998256-001-02-3:10"
"174","CPC005_MCF7_24H:BRD-A77299732-001-01-6:10"
"175","CPC005_MCF7_24H:BRD-A81772229-001-01-6:10"
"176","CPC005_MCF7_24H:BRD-A84481105-003-17-2:10"
"177","CPC005_MCF7_24H:BRD-K04210847-001-01-1:10"
"178","CPC005_MCF7_24H:BRD-K09991945-001-02-0:10"
"179","CPC005_MCF7_24H:BRD-K17894950-001-03-6:10"
"180","CPC005_MCF7_24H:BRD-K40227168-001-06-1:10"
"181","CPC005_MCF7_24H:BRD-K49294207-300-01-2:10"
"182","CPC005_MCF7_24H:BRD-K54095730-001-01-5:10"
"183","CPC005_MCF7_24H:BRD-K78599730-001-02-6:10"
"184","CPC005_MCF7_24H:BRD-K89732114-300-07-1:10"
"185","CPC006_MCF7_24H:A09"
"186","CPC006_MCF7_24H:A19"
"187","CPC006_MCF7_24H:A21"
"188","CPC006_MCF7_24H:B03"
"189","CPC006_MCF7_24H:B04"
"190","CPC006_MCF7_24H:C01"
"191","CPC006_MCF7_24H:C03"
"192","CPC006_MCF7_24H:C04"
"193","CPC006_MCF7_24H:C05"
"194","CPC006_MCF7_24H:C06"
"195","CPC006_MCF7_24H:C08"
"196","CPC006_MCF7_24H:C13"
"197","CPC006_MCF7_24H:C15"
"198","CPC006_MCF7_24H:C16"
"199","CPC006_MCF7_24H:C17"
"200","CPC006_MCF7_24H:E04"
"201","CPC006_MCF7_24H:E10"
"202","CPC006_MCF7_24H:E12"
"203","CPC006_MCF7_24H:E18"
"204","CPC006_MCF7_24H:E21"
"205","CPC006_MCF7_24H:E23"
"206","CPC006_MCF7_24H:E24"
"207","CPC006_MCF7_24H:F09"
"208","CPC006_MCF7_24H:G06"
"209","CPC006_MCF7_24H:G14"
"210","CPC006_MCF7_24H:G17"
"211","CPC006_MCF7_24H:G20"
"212","CPC006_MCF7_24H:G21"
"213","CPC006_MCF7_24H:H17"
"214","CPC006_MCF7_24H:I05"
"215","CPC006_MCF7_24H:I08"
"216","CPC006_MCF7_24H:I11"
"217","CPC006_MCF7_24H:I18"
