"","x"
"1","ABY001_PC3_XH:BRD-A61304759:10:24"
"2","ABY001_PC3_XH:BRD-K66175015:10:24"
"3","ABY001_PC3_XH:BRD-K70401845:10:24"
"4","ABY001_PC3_XH:BRD-K70511574:10:24"
"5","ABY001_PC3_XH:BRD-K81418486:10:24"
"6","ABY001_PC3_XH:BRD-K85606544:10:24"
"7","ASG001_PC3_24H:BRD-A06304526-001-01-0:10"
"8","ASG001_PC3_24H:BRD-A13084692-001-05-8:10"
"9","ASG001_PC3_24H:BRD-A19037878-001-04-9:10"
"10","ASG001_PC3_24H:BRD-A19500257-001-04-7:10"
"11","ASG001_PC3_24H:BRD-A39996500-001-01-4:10"
"12","ASG001_PC3_24H:BRD-A61304759-001-01-0:10"
"13","ASG001_PC3_24H:BRD-A75409952-001-05-7:10"
"14","ASG001_PC3_24H:BRD-A79768653-001-01-3:10"
"15","ASG001_PC3_24H:BRD-K21680192-300-08-6:10"
"16","ASG001_PC3_24H:BRD-K27305650-001-06-7:10"
"17","ASG001_PC3_24H:BRD-K81418486-001-24-4:10"
"18","ASG001_PC3_24H:BRD-K88378636-001-02-8:10"
"19","ASG002_PC3_24H:A07"
"20","ASG002_PC3_24H:A10"
"21","ASG002_PC3_24H:A22"
"22","ASG002_PC3_24H:B04"
"23","ASG002_PC3_24H:B10"
"24","ASG002_PC3_24H:B19"
"25","ASG002_PC3_24H:B22"
"26","ASG002_PC3_24H:C01"
"27","ASG002_PC3_24H:C16"
"28","ASG002_PC3_24H:D04"
"29","ASG002_PC3_24H:D10"
"30","ASG002_PC3_24H:D13"
"31","ASG002_PC3_24H:E07"
"32","ASG002_PC3_24H:E16"
"33","ASG002_PC3_24H:E19"
"34","ASG002_PC3_24H:E22"
"35","ASG002_PC3_24H:F01"
"36","ASG002_PC3_24H:F04"
"37","ASG002_PC3_24H:F07"
"38","ASG002_PC3_24H:F10"
"39","ASG002_PC3_24H:F13"
"40","ASG002_PC3_24H:F19"
"41","ASG002_PC3_24H:G01"
"42","ASG002_PC3_24H:G04"
"43","ASG002_PC3_24H:G22"
"44","ASG002_PC3_24H:H01"
"45","ASG002_PC3_24H:H04"
"46","ASG002_PC3_24H:H07"
"47","ASG002_PC3_24H:H10"
"48","ASG002_PC3_24H:H13"
"49","ASG002_PC3_24H:H16"
"50","ASG002_PC3_24H:H19"
"51","ASG002_PC3_24H:H22"
"52","ASG002_PC3_24H:I04"
"53","ASG002_PC3_24H:I07"
"54","ASG002_PC3_24H:I13"
"55","ASG002_PC3_24H:I19"
"56","ASG002_PC3_24H:J01"
"57","ASG002_PC3_24H:J07"
"58","ASG002_PC3_24H:J10"
"59","ASG002_PC3_24H:J22"
"60","ASG002_PC3_24H:K01"
"61","ASG002_PC3_24H:K04"
"62","ASG002_PC3_24H:K13"
"63","ASG002_PC3_24H:K16"
"64","ASG002_PC3_24H:K22"
"65","ASG002_PC3_24H:L01"
"66","ASG002_PC3_24H:L04"
"67","ASG002_PC3_24H:L07"
"68","ASG002_PC3_24H:L19"
"69","ASG002_PC3_24H:L22"
"70","ASG002_PC3_24H:M04"
"71","ASG002_PC3_24H:M07"
"72","ASG002_PC3_24H:M13"
"73","ASG002_PC3_24H:M19"
"74","ASG002_PC3_24H:N01"
"75","ASG002_PC3_24H:N04"
"76","ASG002_PC3_24H:N07"
"77","ASG002_PC3_24H:N10"
"78","ASG002_PC3_24H:N13"
"79","ASG002_PC3_24H:N16"
"80","ASG002_PC3_24H:N19"
"81","ASG002_PC3_24H:N22"
"82","ASG002_PC3_24H:O07"
"83","ASG002_PC3_24H:O10"
"84","ASG002_PC3_24H:O16"
"85","ASG002_PC3_24H:O19"
"86","ASG002_PC3_24H:O22"
"87","ASG002_PC3_24H:P01"
"88","ASG002_PC3_24H:P07"
"89","ASG002_PC3_24H:P13"
"90","ASG002_PC3_24H:P16"
"91","ASG002_PC3_24H:P22"
"92","CPC001_PC3_24H:A03"
"93","CPC001_PC3_24H:A04"
"94","CPC001_PC3_24H:A08"
"95","CPC001_PC3_24H:A15"
"96","CPC001_PC3_24H:A22"
"97","CPC001_PC3_24H:B03"
"98","CPC001_PC3_24H:B04"
"99","CPC001_PC3_24H:B07"
"100","CPC001_PC3_24H:B14"
"101","CPC001_PC3_24H:C02"
"102","CPC001_PC3_24H:C04"
"103","CPC001_PC3_24H:C22"
"104","CPC001_PC3_24H:D02"
"105","CPC001_PC3_24H:D05"
"106","CPC001_PC3_24H:D14"
"107","CPC001_PC3_24H:D18"
"108","CPC001_PC3_24H:E19"
"109","CPC001_PC3_24H:E22"
"110","CPC001_PC3_24H:F11"
"111","CPC001_PC3_24H:F21"
"112","CPC001_PC3_24H:G01"
"113","CPC001_PC3_24H:G05"
"114","CPC001_PC3_24H:G18"
"115","CPC001_PC3_24H:H24"
"116","CPC001_PC3_24H:I01"
"117","CPC001_PC3_24H:I06"
"118","CPC001_PC3_24H:I07"
"119","CPC001_PC3_24H:I12"
"120","CPC001_PC3_24H:I13"
"121","CPC001_PC3_24H:I14"
"122","CPC001_PC3_24H:J04"
"123","CPC001_PC3_24H:K07"
"124","CPC001_PC3_24H:L08"
"125","CPC001_PC3_24H:M20"
"126","CPC001_PC3_24H:M24"
"127","CPC001_PC3_24H:N01"
"128","CPC001_PC3_24H:N02"
"129","CPC001_PC3_24H:N14"
"130","CPC001_PC3_24H:N19"
"131","CPC001_PC3_24H:O01"
"132","CPC001_PC3_24H:O07"
"133","CPC001_PC3_24H:O09"
"134","CPC001_PC3_24H:O13"
"135","CPC001_PC3_24H:O21"
"136","CPC001_PC3_24H:O23"
"137","CPC001_PC3_24H:P04"
"138","CPC001_PC3_24H:P07"
"139","CPC001_PC3_24H:P17"
"140","CPC002_PC3_24H:BRD-A10420615-001-03-6:10"
"141","CPC002_PC3_24H:BRD-A19500257:10"
"142","CPC002_PC3_24H:BRD-A42649439-001-02-8:10"
"143","CPC002_PC3_24H:BRD-A62336480-001-02-5:10"
"144","CPC002_PC3_24H:BRD-A64290322-001-01-6:10"
"145","CPC002_PC3_24H:BRD-A75409952:10"
"146","CPC002_PC3_24H:BRD-A80502530-001-01-2:10"
"147","CPC002_PC3_24H:BRD-A86109770-001-01-9:10"
"148","CPC002_PC3_24H:BRD-K06198550-001-02-1:10"
"149","CPC002_PC3_24H:BRD-K07691486-001-04-9:10"
"150","CPC002_PC3_24H:BRD-K08547377-003-03-2:10"
"151","CPC002_PC3_24H:BRD-K12079898-001-01-8:10"
"152","CPC002_PC3_24H:BRD-K12867552-001-01-3:10"
"153","CPC002_PC3_24H:BRD-K13646352-001-01-2:10"
"154","CPC002_PC3_24H:BRD-K15567136-003-18-1:10"
"155","CPC002_PC3_24H:BRD-K20755323-001-01-8:10"
"156","CPC002_PC3_24H:BRD-K32501161-300-04-7:10"
"157","CPC002_PC3_24H:BRD-K34092021-001-02-3:10"
